order_id,user_id,order_date,status,amount
100000,2913,2025-08-05 17:07:54,paid,581.16
100001,4841,2024-07-21 09:43:48,cancelled,661.5
100002,2541,2025-09-29 00:27:26,paid,220.71
100003,4415,2025-06-18 05:09:53,paid,1421.48
100004,1243,2024-04-15 20:36:35,paid,709.11
100005,773,2025-07-02 21:24:27,paid,1724.15
100006,1917,2025-07-03 08:20:33,cancelled,758.93
100007,3413,2025-04-14 12:38:17,paid,1208.38
100008,2500,2025-02-11 15:25:47,paid,357.74
100009,3441,2025-09-27 00:04:49,paid,204.69
100010,5040,2025-06-27 12:37:16,paid,1311.37
100011,3546,2024-06-23 08:29:14,paid,215.31
100012,1214,2025-10-04 16:45:47,paid,711.06
100013,2932,2025-10-31 04:14:03,paid,517.1
100014,419,2025-04-25 20:54:19,paid,753.33
100015,3782,2024-03-01 16:47:43,paid,260.63
100016,4961,2025-02-06 13:41:32,paid,1229.97
100017,789,2025-03-20 00:53:58,refunded,764.04
100018,1872,2025-10-22 06:27:04,paid,867.84
100019,4591,2024-10-22 23:06:04,paid,974.09
100020,5159,2024-11-22 20:14:31,cancelled,1647.76
100021,2026,2025-08-13 20:33:37,paid,689.55
100022,2447,2025-02-23 22:32:25,paid,152.78
100023,4824,2025-09-22 13:21:49,paid,107.02
100024,561,2025-06-13 14:45:49,refunded,1080.97
100025,2652,2025-11-02 04:59:07,paid,80.71
100026,5249,2024-05-16 18:25:48,paid,286.98
100027,3905,2024-03-21 11:24:39,paid,1504.47
100028,540,2025-10-14 01:35:14,paid,811.67
100029,4756,2024-05-05 19:59:04,refunded,80.91
100030,5960,2025-09-02 13:12:25,paid,1835.21
100031,3137,2025-01-18 01:10:43,paid,335.81
100032,3290,2024-11-21 09:38:21,paid,403.42
100033,2611,2025-10-13 07:41:40,paid,1378.44
100034,5547,2024-12-23 02:44:57,cancelled,1401.44
100035,4913,2025-08-12 22:40:30,paid,2201.23
100036,1945,2025-10-17 23:50:31,paid,263.14
100037,3146,2025-01-18 09:21:37,paid,366.22
100038,2759,2025-06-15 05:05:00,paid,1084.52
100039,5312,2024-05-30 21:36:33,paid,79.34
100040,3261,2025-06-29 21:48:13,paid,173.37
100041,4108,2024-07-27 00:39:16,refunded,74.9
100042,1896,2024-11-27 03:33:47,paid,648.96
100043,2501,2025-09-23 00:48:21,paid,666.84
100044,2830,2025-08-18 01:21:11,paid,547.11
100045,3874,2025-11-02 22:59:21,cancelled,65.55
100046,48,2025-08-10 14:45:47,paid,516.2
100047,2365,2025-03-22 10:54:44,paid,959.62
100048,2257,2025-05-10 00:21:57,paid,487.72
100049,5667,2025-10-22 08:29:30,paid,782.03
100050,4673,2025-06-21 00:42:52,refunded,442.67
100051,754,2025-10-26 03:09:47,paid,278.64
100052,5156,2025-09-06 09:50:22,paid,647.23
100053,2803,2025-08-02 12:37:08,paid,733.25
100054,4650,2024-11-15 01:06:14,paid,1174.85
100055,3653,2024-10-24 16:55:55,paid,239.34
100056,403,2025-02-25 07:42:00,paid,70.36
100057,5227,2025-09-08 11:33:40,paid,784.05
100058,2087,2025-05-23 22:57:36,refunded,366.84
100059,2228,2025-11-02 01:45:32,paid,530.92
100060,3411,2025-10-12 18:35:14,paid,610.75
100061,2991,2024-11-12 23:41:09,paid,677.74
100062,4644,2025-09-28 09:48:46,refunded,577.94
100063,1150,2025-01-01 07:04:28,paid,1034.45
100064,63,2025-08-21 16:54:22,paid,775.59
100065,4940,2025-08-15 11:08:28,paid,1912.81
100066,3154,2024-11-05 07:49:10,paid,736.79
100067,1009,2025-09-07 18:02:31,paid,637.59
100068,5939,2025-11-02 20:25:37,paid,781.99
100069,2032,2025-06-29 05:18:01,paid,293.62
100070,1323,2025-06-18 22:29:48,paid,653.53
100071,2082,2025-07-27 02:10:28,paid,1133.49
100072,752,2025-10-05 09:50:46,paid,576.84
100073,4145,2025-08-10 16:52:58,paid,80.78
100074,658,2025-10-11 06:34:52,paid,194.43
100075,1661,2025-04-10 19:03:42,paid,1795.55
100076,701,2025-09-16 19:27:41,paid,576.52
100077,1081,2025-05-08 17:21:23,paid,62.01
100078,2157,2025-10-23 18:33:55,paid,20.67
100079,1541,2024-06-27 07:17:16,paid,160.0
100080,3033,2025-09-28 02:28:56,paid,314.11
