day,channel,spend
2024-01-01,search,1213.91
2024-01-01,social,926.93
2024-01-01,email,198.78
2024-01-01,affiliate,293.33
2024-01-01,display,372.14
2024-01-01,direct,0.0
2024-01-01,referral,41.48
2024-01-02,search,974.79
2024-01-02,social,747.0
2024-01-02,email,249.37
2024-01-02,affiliate,333.46
2024-01-02,display,457.81
2024-01-02,direct,0.0
2024-01-02,referral,64.96
2024-01-03,search,1250.95
2024-01-03,social,771.93
2024-01-03,email,178.03
2024-01-03,affiliate,313.37
2024-01-03,display,440.69
2024-01-03,direct,0.0
2024-01-03,referral,45.66
2024-01-04,search,1011.8
2024-01-04,social,744.88
2024-01-04,email,247.97
2024-01-04,affiliate,307.37
2024-01-04,display,364.65
2024-01-04,direct,0.0
2024-01-04,referral,51.77
2024-01-05,search,968.93
2024-01-05,social,973.37
2024-01-05,email,215.16
2024-01-05,affiliate,351.46
2024-01-05,display,327.6
2024-01-05,direct,0.0
2024-01-05,referral,33.68
2024-01-06,search,909.37
2024-01-06,social,763.78
2024-01-06,email,145.68
2024-01-06,affiliate,246.85
2024-01-06,display,380.12
2024-01-06,direct,0.0
2024-01-06,referral,40.83
2024-01-07,search,1292.78
2024-01-07,social,698.55
2024-01-07,email,156.79
2024-01-07,affiliate,298.29
2024-01-07,display,364.55
2024-01-07,direct,0.0
2024-01-07,referral,43.06
2024-01-08,search,1531.38
2024-01-08,social,837.21
2024-01-08,email,204.17
2024-01-08,affiliate,383.7
2024-01-08,display,395.22
2024-01-08,direct,0.0
2024-01-08,referral,50.5
2024-01-09,search,989.64
2024-01-09,social,766.64
2024-01-09,email,156.21
2024-01-09,affiliate,256.99
2024-01-09,display,465.3
2024-01-09,direct,0.0
2024-01-09,referral,54.47
2024-01-10,search,987.41
2024-01-10,social,782.29
2024-01-10,email,192.66
2024-01-10,affiliate,304.93
2024-01-10,display,411.49
2024-01-10,direct,0.0
2024-01-10,referral,48.78
2024-01-11,search,1120.78
2024-01-11,social,605.47
2024-01-11,email,191.11
2024-01-11,affiliate,280.0
2024-01-11,display,458.35
2024-01-11,direct,0.0
2024-01-11,referral,50.25
2024-01-12,search,1454.68
2024-01-12,social,813.0
2024-01-12,email,187.0
2024-01-12,affiliate,369.31
2024-01-12,display,396.52
2024-01-12,direct,0.0
2024-01-12,referral,47.34
2024-01-13,search,962.65
2024-01-13,social,711.74
2024-01-13,email,164.88
2024-01-13,affiliate,240.04
2024-01-13,display,307.8
2024-01-13,direct,0.0
2024-01-13,referral,51.92
2024-01-14,search,1062.06
2024-01-14,social,527.04
2024-01-14,email,144.26
2024-01-14,affiliate,163.07
2024-01-14,display,275.56
2024-01-14,direct,0.0
2024-01-14,referral,53.23
2024-01-15,search,909.19
2024-01-15,social,901.14
2024-01-15,email,186.43
2024-01-15,affiliate,309.57
2024-01-15,display,453.9
2024-01-15,direct,0.0
2024-01-15,referral,40.27
2024-01-16,search,1051.33
2024-01-16,social,846.55
2024-01-16,email,195.71
2024-01-16,affiliate,303.73
2024-01-16,display,317.42
2024-01-16,direct,0.0
2024-01-16,referral,46.75
2024-01-17,search,1073.11
2024-01-17,social,725.77
2024-01-17,email,179.51
2024-01-17,affiliate,388.48
2024-01-17,display,508.41
2024-01-17,direct,0.0
2024-01-17,referral,65.03
2024-01-18,search,1161.75
2024-01-18,social,838.99
2024-01-18,email,224.67
2024-01-18,affiliate,309.46
2024-01-18,display,388.95
2024-01-18,direct,0.0
2024-01-18,referral,37.88
2024-01-19,search,1305.72
2024-01-19,social,727.84
2024-01-19,email,179.42
2024-01-19,affiliate,251.05
2024-01-19,display,421.72
2024-01-19,direct,0.0
2024-01-19,referral,56.43
2024-01-20,search,949.46
2024-01-20,social,794.07
2024-01-20,email,145.32
2024-01-20,affiliate,298.51
2024-01-20,display,326.08
2024-01-20,direct,0.0
2024-01-20,referral,39.54
2024-01-21,search,1159.7
2024-01-21,social,737.58
2024-01-21,email,162.47
2024-01-21,affiliate,293.53
2024-01-21,display,324.15
2024-01-21,direct,0.0
2024-01-21,referral,41.88
2024-01-22,search,1254.71
2024-01-22,social,618.3
2024-01-22,email,197.61
2024-01-22,affiliate,321.83
2024-01-22,display,432.04
2024-01-22,direct,0.0
2024-01-22,referral,41.91
2024-01-23,search,1404.48
2024-01-23,social,768.63
2024-01-23,email,224.55
2024-01-23,affiliate,332.16
2024-01-23,display,386.45
2024-01-23,direct,0.0
2024-01-23,referral,44.56
2024-01-24,search,1205.73
2024-01-24,social,585.45
2024-01-24,email,183.11
2024-01-24,affiliate,302.67
2024-01-24,display,368.87
2024-01-24,direct,0.0
2024-01-24,referral,44.86
2024-01-25,search,1536.03
2024-01-25,social,609.18
2024-01-25,email,202.02
2024-01-25,affiliate,357.75
2024-01-25,display,325.56
2024-01-25,direct,0.0
2024-01-25,referral,40.87
2024-01-26,search,1345.9
2024-01-26,social,962.37
2024-01-26,email,192.37
2024-01-26,affiliate,269.56
2024-01-26,display,331.49
2024-01-26,direct,0.0
2024-01-26,referral,45.74
2024-01-27,search,1083.84
2024-01-27,social,812.84
2024-01-27,email,153.96
2024-01-27,affiliate,273.11
2024-01-27,display,417.76
2024-01-27,direct,0.0
2024-01-27,referral,34.09
2024-01-28,search,1023.34
2024-01-28,social,584.93
2024-01-28,email,184.65
2024-01-28,affiliate,276.05
2024-01-28,display,282.68
2024-01-28,direct,0.0
2024-01-28,referral,43.18
2024-01-29,search,1212.49
2024-01-29,social,900.58
2024-01-29,email,176.3
2024-01-29,affiliate,291.34
2024-01-29,display,345.54
2024-01-29,direct,0.0
2024-01-29,referral,40.02
2024-01-30,search,1501.21
2024-01-30,social,916.2
2024-01-30,email,134.96
2024-01-30,affiliate,243.54
2024-01-30,display,404.36
2024-01-30,direct,0.0
2024-01-30,referral,62.96
2024-01-31,search,1009.27
2024-01-31,social,787.57
2024-01-31,email,152.42
2024-01-31,affiliate,303.38
2024-01-31,display,274.38
2024-01-31,direct,0.0
2024-01-31,referral,48.53
2024-02-01,search,1405.33
2024-02-01,social,672.47
2024-02-01,email,247.86
2024-02-01,affiliate,378.58
2024-02-01,display,314.01
2024-02-01,direct,0.0
2024-02-01,referral,44.6
2024-02-02,search,1449.58
2024-02-02,social,592.02
2024-02-02,email,159.47
2024-02-02,affiliate,337.61
2024-02-02,display,464.26
2024-02-02,direct,0.0
2024-02-02,referral,52.07
2024-02-03,search,1047.74
2024-02-03,social,684.17
2024-02-03,email,111.96
2024-02-03,affiliate,243.96
2024-02-03,display,315.63
2024-02-03,direct,0.0
2024-02-03,referral,44.39
2024-02-04,search,942.64
2024-02-04,social,632.33
2024-02-04,email,151.94
2024-02-04,affiliate,274.1
2024-02-04,display,344.78
2024-02-04,direct,0.0
2024-02-04,referral,38.72
2024-02-05,search,1087.06
2024-02-05,social,998.47
2024-02-05,email,214.88
2024-02-05,affiliate,301.97
2024-02-05,display,507.12
2024-02-05,direct,0.0
2024-02-05,referral,54.55
2024-02-06,search,1446.95
2024-02-06,social,720.72
2024-02-06,email,211.58
2024-02-06,affiliate,316.9
2024-02-06,display,452.12
2024-02-06,direct,0.0
2024-02-06,referral,51.77
2024-02-07,search,1225.65
2024-02-07,social,915.75
2024-02-07,email,211.72
2024-02-07,affiliate,232.33
2024-02-07,display,480.61
2024-02-07,direct,0.0
2024-02-07,referral,41.64
2024-02-08,search,1234.53
2024-02-08,social,844.37
2024-02-08,email,247.33
2024-02-08,affiliate,277.19
2024-02-08,display,209.5
2024-02-08,direct,0.0
2024-02-08,referral,56.49
2024-02-09,search,1233.51
2024-02-09,social,883.25
2024-02-09,email,207.38
2024-02-09,affiliate,258.71
2024-02-09,display,363.06
2024-02-09,direct,0.0
2024-02-09,referral,43.69
2024-02-10,search,1119.44
2024-02-10,social,696.21
2024-02-10,email,148.1
2024-02-10,affiliate,256.56
2024-02-10,display,343.14
2024-02-10,direct,0.0
